run_id,workflow_name,status,start_time,end_time
86126407,JOBP.DAILY_HEALTHTRIO_REPORT2_PROCESS,UNKNOWN,,
86126449,JOBP.DAILY_IPLUS_OPTUM_ACCUMS_OUTBOUND_PROCESS,UNKNOWN,,
86130095,JOBP.DAILY_OPTUM_ACCUMS_UPLOAD_PROCESS,UNKNOWN,,
86129076,JOBP.DAILY_NATION_BENEFITS_UPLOAD_PROCESS,UNKNOWN,,
86130093,JOBP.DAILY_HEALTHTRIO_REPORT2_PROCESS,UNKNOWN,,
86129123,JOBP.DAILY_CHECK_MOVE_EDI_FILES,UNKNOWN,,
86129126,JOBP.DAILY_BUILD_HEALTHTRIO_PROVIDER_DIRECTORY_DATA,UNKNOWN,,
86126518,JOBP.DAILY_HEALTHTRIO_REPORT2_PROCESS,UNKNOWN,,
86129392,JOBP.DAILY_HEALTHTRIO_REPORT2_PROCESS,UNKNOWN,,
86130712,JOBP.MANUAL_MONTHLY_MEDICARE_PREMIUM_BILLING_INVOICE_PROCESS,UNKNOWN,,
86129526,JOBP.DAILY_HEALTHTRIO_REPORT2_PROCESS,UNKNOWN,,
86129573,JOBP.DAILY_IPLUS_ZELIS_CLAIM_REPRICER_OUTBOUND_PROCESS,ACTIVE,2026-04-29T17:00:27Z,
86130965,JOBP.DAILY_IPLUS_SECONDARY_ZELIS_UPLOAD_PROCESS,ACTIVE,2026-04-29T17:00:25Z,
86129656,JOBP.DAILY_HEALTHTRIO_REPORT2_PROCESS,UNKNOWN,,
86132205,JOBP.DAILY_HEALTHTRIO_REPORT2_PROCESS,UNKNOWN,,
